Name;Status;Population census 1990-04-01;Population census 2000-04-01;Population census 2010-04-01;Population estimate 2011-07-01
Washington;County;145860;201214;238136;241280
Watonwan;County;11682;11882;11211;11201
Wilkin;County;7516;7135;6576;6592
Winona;County;47828;49996;51461;51378
Wright;County;68710;90022;124700;126437
Yellow Medicine;County;11684;11235;10438;10307
Mississippi;Federal State;2575475;2844754;2967297;2978512
Adams;County;35356;34339;32297;32067
Alcorn;County;31722;34519;37057;37052
Amite;County;13328;13565;13131;13064
Attala;County;18481;19654;19564;19466
Benton;County;8046;8031;8729;8732
Bolivar;County;41875;40619;34145;33771
Calhoun;County;14908;15060;14962;14917
Carroll;County;9237;10751;10597;10373
Chickasaw;County;18085;19447;17392;17124
Choctaw;County;9071;9759;8547;8412
Claiborne;County;11370;11837;9604;9585
Clarke;County;17313;17796;16732;16743
Clay;County;21120;21984;20634;20456
Coahoma;County;31665;30617;26151;25913
Copiah;County;27592;28763;29449;29247
Covington;County;16527;19418;19568;19629
DeSoto;County;67910;107252;161252;164053
Forrest;County;68314;71934;74934;75842
Franklin;County;8377;8419;8118;8017
George;County;16673;19224;22578;22889
Greene;County;10220;13287;14400;14338
Grenada;County;21555;23273;21906;21706
Hancock;County;31760;42945;43929;44649
Harrison;County;165365;189577;187105;191040
Hinds;County;254441;250752;245285;248184
Holmes;County;21604;21608;19198;18818
Humphreys;County;12134;11191;9375;9312
Issaquena;County;1909;2274;1406;1392
Itawamba;County;20017;22774;23401;23332
Jackson;County;115243;131439;139668;139901
Jasper;County;17114;18148;17062;16777
Jefferson;County;8653;9723;7726;7605
Jefferson Davis;County;14051;13954;12487;12118
Jones;County;62031;64955;67761;68075
Kemper;County;10356;10447;10456;10146
Lafayette;County;31826;38687;47351;48472
Lamar;County;30424;39877;55658;57422
Lauderdale;County;75555;78168;80261;80475
Lawrence;County;12458;13201;12929;12687
Leake;County;18436;20930;23805;23572
Lee;County;65579;75664;82910;84156
Leflore;County;37341;37951;32317;31861
Lincoln;County;30278;33191;34869;34889
Lowndes;County;59308;61596;59779;59671
Madison;County;53794;74711;95203;96941
Marion;County;25544;25626;27088;26809
Marshall;County;30361;34947;37144;36786
Monroe;County;36582;37996;36989;36626
Montgomery;County;12387;12191;10925;10872
Neshoba;County;24800;28675;29676;29818
Newton;County;20291;21834;21720;21499
Noxubee;County;12604;12545;11545;11351
Oktibbeha;County;38375;42920;47671;47741
Panola;County;29996;34283;34707;34602
Pearl River;County;38714;48518;55834;55718
Perry;County;10865;12111;12250;12164
Pike;County;36882;38957;40404;40406
Pontotoc;County;22237;26811;29957;29900
Prentiss;County;23278;25582;25276;25330
Quitman;County;10490;10121;8223;8134
Rankin;County;87161;115403;141617;143702
Scott;County;24137;28455;28264;28388
Sharkey;County;7066;6576;4916;4892
Simpson;County;23953;27634;27503;27320
Smith;County;14798;16163;16491;16442
Stone;County;10750;13592;17786;17822
Sunflower;County;35129;34382;29450;29296
Tallahatchie;County;15210;14896;15378;15318
Tate;County;21432;25386;28886;28719
Tippah;County;19523;20890;22232;22143
Tishomingo;County;17683;19155;19593;19603
Tunica;County;8164;9240;10778;10628
Union;County;22085;25344;27134;27340
Walthall;County;14352;15161;15443;15406
Warren;County;47880;49668;48773;48346
Washington;County;67935;63035;51137;50406
Wayne;County;19517;21372;20747;20589
Webster;County;10222;10284;10253;10319
Wilkinson;County;9678;10337;9878;9679
Winston;County;19433;20157;19198;19069
Yalobusha;County;12033;13052;12678;12552
Yazoo;County;25506;28144;28065;27886
Missouri;Federal State;5116901;5596564;5988927;6010688
Adair;County;24577;24968;25607;25552
Andrew;County;14632;16489;17291;17196
Atchison;County;7457;6424;5685;5569
Audrain;County;23599;25857;25529;25566
Barry;County;27547;33980;35597;35282
Barton;County;11312;12543;12402;12327
Bates;County;15025;16648;17049;17008
Benton;County;13859;17141;19056;19115
Bollinger;County;10619;12012;12363;12356
Boone;County;112379;135477;162642;165627
Buchanan;County;83083;86013;89201;89666
Butler;County;38765;40864;42794;43082
Caldwell;County;8380;8964;9424;9315
Callaway;County;32809;40762;44332;44420
Camden;County;27495;36807;44002;43679
Cape Girardeau;County;61633;68691;75674;76632
Carroll;County;10748;10289;9295;9260
Carter;County;5515;5940;6265;6365
Cass;County;63808;82123;99478;100052
Cedar;County;12093;13713;13982;13948
Chariton;County;9202;8436;7831;7734
Christian;County;32644;54303;77422;78570
Clark;County;7547;7416;7139;7019
Clay;County;153411;183941;221939;225161
Clinton;County;16595;19002;20743;20789
Cole;County;63579;71423;75990;76448
Cooper;County;14835;16668;17601;17663
Crawford;County;19173;22785;24696;24800
Dade;County;7449;7920;7883;7807
Dallas;County;12646;15725;16777;16749
Daviess;County;7865;8012;8433;8313
DeKalb;County;9967;13090;12892;12767
Dent;County;13702;14926;15657;15676
Douglas;County;11876;13082;13684;13548
Dunklin;County;33112;33184;31953;31974
Franklin;County;80603;93820;101492;101938
Gasconade;County;14006;15350;15222;15168
Gentry;County;6854;6867;6738;6786
Greene;County;207949;240460;275174;277214
Grundy;County;10536;10420;10261;10228
Harrison;County;8469;8856;8957;8866
Henry;County;20044;22005;22272;22219
Hickory;County;7335;8922;9627;9628
Holt;County;6034;5354;4912;4814
Howard;County;9631;10208;10144;10204
Howell;County;31447;37273;40400;40665
Iron;County;10726;10676;10630;10656
Jackson;County;633234;654941;674158;676360
Jasper;County;90465;104704;117404;118435
Jefferson;County;171380;198362;218733;219480
Johnson;County;42514;48270;52595;53439
Knox;County;4482;4360;4131;4126
Laclede;County;27158;32532;35571;35636
Lafayette;County;31107;32939;33381;33209
Lawrence;County;30236;35216;38634;38660
Lewis;County;10233;10487;10211;10155
Lincoln;County;28892;38916;52566;53076
Linn;County;13885;13754;12761;12566
Livingston;County;14592;14562;15195;15074
Macon;County;15345;15760;15566;15591
Madison;County;11127;11851;12226;12195
Maries;County;7976;8924;9176;9171
Marion;County;27682;28267;28781;28717
McDonald;County;16938;21684;23083;22977
Mercer;County;3723;3756;3785;3804
Miller;County;20700;23562;24748;24770
Mississippi;County;14442;13430;14358;14306
Moniteau;County;12298;14829;15607;15697
Monroe;County;9104;9320;8840;8734
Montgomery;County;11355;12140;12236;12270
Morgan;County;15574;19239;20565;20502
New Madrid;County;20928;19691;18956;18783
Newton;County;44445;52596;58114;58414
Nodaway;County;21709;21913;23370;23468
Oregon;County;9470;10332;10881;11017
Osage;County;12018;13019;13878;13915
Ozark;County;8598;9536;9723;9595
Pemiscot;County;21921;20079;18296;18174
Perry;County;16648;18120;18971;19041
Pettis;County;35437;39418;42201;42178
Phelps;County;35248;39826;45156;45020
Pike;County;15969;18347;18516;18572
Platte;County;57867;73826;89322;90903
Polk;County;21826;26922;31137;31170
Pulaski;County;41307;41170;52274;53175
Putnam;County;5079;5216;4979;4978
Ralls;County;8476;9632;10167;10281
Randolph;County;24370;24663;25414;25346
Ray;County;21968;23374;23494;23230
Reynolds;County;6661;6687;6696;6588
Ripley;County;12303;13505;14100;14143
Saline;County;23523;23764;23370;23280
Schuyler;County;4236;4173;4431;4381
Scotland;County;4822;4983;4843;4828
Scott;County;39376;40437;39191;39136
Shannon;County;7613;8319;8441;8432
Shelby;County;6942;6808;6373;6280
St. Charles;County;212751;283939;360485;365151
St. Clair;County;8457;9652;9805;9641
St. Francois;County;48904;55643;65359;65577
St. Louis;County;993508;1016202;998954;998692
St. Louis;City;396685;348192;319294;318069
Ste. Genevieve;County;16037;17819;18145;18124
Stoddard;County;28895;29720;29968;29807
Stone;County;19078;28505;32202;32263
Sullivan;County;6326;7228;6714;6659
Taney;County;25561;39776;51675;52736
Texas;County;21476;22996;26008;25936
Vernon;County;19041;20449;21159;20963
Warren;County;19534;24536;32513;32515
Washington;County;20380;23318;25195;25076
Wayne;County;11543;13237;13521;13475
Webster;County;23753;31041;36202;36439
Worth;County;2440;2384;2171;2150
Wright;County;16758;17937;18815;18716
Montana;Federal State;799065;902200;989415;998199
Beaverhead;County;8424;9192;9246;9198
Big Horn;County;11337;12676;12865;13093
Blaine;County;6728;7009;6491;6565
Broadwater;County;3318;4380;5612;5752
Carbon;County;8080;9545;10078;10028
Carter;County;1503;1358;1160;1152
Cascade;County;77691;80356;81327;81837
Chouteau;County;5452;5962;5813;5793
Custer;County;11697;11694;11699;11752
Daniels;County;2266;2017;1751;1763
Dawson;County;9505;9059;8966;8989
Deer Lodge;County;10356;9416;9298;9299
Fallon;County;3103;2835;2890;2956
Fergus;County;12083;11905;11586;11506
Flathead;County;59218;74507;90928;91301
Gallatin;County;50484;67837;89513;91377
Garfield;County;1589;1279;1206;1251
Glacier;County;12121;13240;13399;13624
Golden Valley;County;912;1040;884;865
Granite;County;2548;2841;3079;3068
Hill;County;17654;16671;16096;16397
Jefferson;County;7939;10034;11406;11381
Judith Basin;County;2282;2326;2072;2004
Lake;County;21041;26482;28746;28947
Lewis and Clark;County;47495;55716;63395;64318
Liberty;County;2295;2158;2339;2402
Lincoln;County;17481;18820;19687;19566
Madison;County;5989;6848;7691;7660
McCone;County;2276;1971;1734;1711
Meagher;County;1819;1928;1891;1911
Mineral;County;3315;3871;4223;4208
Missoula;County;78687;95803;109299;110138
Musselshell;County;4106;4492;4538;4701
Park;County;14515;15694;15636;15469
Petroleum;County;519;493;494;491
Phillips;County;5163;4601;4253;4250
Pondera;County;6433;6425;6153;6257
Powder River;County;2090;1858;1743;1738
Powell;County;6620;7185;7027;7063
Prairie;County;1383;1199;1179;1159
Ravalli;County;25010;36093;40212;40450
Richland;County;10716;9666;9746;10128
Roosevelt;County;10999;10632;10425;10527
Rosebud;County;10505;9389;9233;9379
Sanders;County;8669;10238;11413;11440
Sheridan;County;4732;4105;3384;3460
Silver Bow;County;33941;34625;34200;34383
Stillwater;County;6536;8221;9117;9131
Sweet Grass;County;3154;3601;3651;3623
Teton;County;6271;6449;6073;6091
Toole;County;5046;5255;5324;5239
Treasure;County;874;857;718;727
Valley;County;8239;7673;7369;7487
Wheatland;County;2246;2259;2168;2140
Wibaux;County;1191;1067;1017;985
Yellowstone;County;113419;129347;147972;150069
Nebraska;Federal State;1578417;1711230;1826341;1842641
Adams;County;29625;31150;31364;31216
Antelope;County;7965;7447;6685;6619
Arthur;County;462;444;460;469
Banner;County;852;815;690;684
Blaine;County;675;583;478;473
Boone;County;6667;6259;5505;5412
Box Butte;County;13130;12159;11308;11383
Boyd;County;2835;2443;2099;2082
Brown;County;3657;3525;3145;3117
Buffalo;County;37447;42232;46102;46690
Burt;County;7868;7791;6858;6802
Butler;County;8601;8857;8395;8287
Cass;County;21318;24319;25241;25188
Cedar;County;10131;9626;8852;8730
Chase;County;4381;4068;3966;4011
Cherry;County;6307;6149;5713;5761
Cheyenne;County;9494;9833;9998;9978
Clay;County;7123;7036;6542;6486
Colfax;County;9139;10434;10515;10614
Cuming;County;10117;10203;9139;9181
Custer;County;12270;11794;10939;10903
Dakota;County;16742;20265;21006;20913
Dawes;County;9021;9060;9182;9196
Dawson;County;19940;24370;24326;24388
Deuel;County;2237;2089;1941;1984
Dixon;County;6143;6277;6000;5989
Dodge;County;34500;36150;36691;36773
Douglas;County;416444;463567;517110;524861
Dundy;County;2582;2292;2008;1976
Fillmore;County;7103;6634;5890;5866
Franklin;County;3938;3569;3225;3207
Frontier;County;3101;3089;2756;2723
Furnas;County;5553;5324;4959;4943
Gage;County;22794;22992;22311;22031
Garden;County;2460;2294;2057;2069
Garfield;County;2141;1902;2049;2032
Gosper;County;1928;2143;2044;2010
Grant;County;769;735;614;630
Greeley;County;3006;2714;2538;2519
Hall;County;48925;53577;58607;59477
Hamilton;County;8862;9408;9124;9069
Harlan;County;3810;3783;3423;3417
Hayes;County;1222;1068;967;960
Hitchcock;County;3750;3110;2908;2857
Holt;County;12599;11544;10435;10399
Hooker;County;793;783;736;729
Howard;County;6057;6561;6274;6342
Jefferson;County;8759;8340;7547;7519
Johnson;County;4673;4488;5217;5211
Kearney;County;6629;6887;6489;6588
Keith;County;8584;8868;8368;8301
Keya Paha;County;1029;985;824;813
Kimball;County;4108;4085;3821;3775
Knox;County;9564;9370;8701;8575
Lancaster;County;213641;250307;285407;289800
Lincoln;County;32508;34630;36288;36142
Logan;County;878;774;763;762
Loup;County;683;712;632;610
Madison;County;32655;35254;34876;34931
McPherson;County;546;533;539;552
Merrick;County;8062;8189;7845;7732
Morrill;County;5423;5443;5042;4998
Nance;County;4275;4042;3735;3740
Nemaha;County;7980;7580;7248;7280
Nuckolls;County;5786;5056;4500;4478
Otoe;County;14252;15402;15740;15798
Pawnee;County;3317;3089;2773;2735
Perkins;County;3367;3199;2970;2955
Phelps;County;9715;9746;9188;9184
Pierce;County;7827;7843;7266;7216
Platte;County;29820;31574;32237;32593
Polk;County;5655;5629;5406;5322
Red Willow;County;11705;11456;11055;11032
Richardson;County;9937;9531;8363;8345
Rock;County;2019;1754;1526;1494
Saline;County;12715;13858;14200;14345
Sarpy;County;102583;122633;158840;162561
Saunders;County;18285;19827;20780;20867
Scotts Bluff;County;36025;36952;36970;37044
Seward;County;15450;16491;16750;16703
Sheridan;County;6750;6186;5469;5392
Sherman;County;3718;3312;3152;3093
Sioux;County;1549;1475;1311;1336
Stanton;County;6244;6453;6129;6155
Thayer;County;6635;6042;5228;5160
Thomas;County;851;728;647;716
Thurston;County;6936;7167;6940;7006
Valley;County;5169;4651;4260;4218
Washington;County;16607;18787;20234;20295
Wayne;County;9364;9890;9595;9504
Webster;County;4279;4055;3812;3775
Wheeler;County;948;888;818;818
York;County;14428;14602;13665;13726
Nevada;Federal State;1201675;1998250;2700551;2723322
Carson City;City;40443;52477;55274;55439
Churchill;County;17938;23984;24877;24637
Clark;County;741368;1375741;1951269;1969975
Douglas;County;27637;41245;46997;46886
Elko;County;33463;45287;48818;49491
Esmeralda;County;1344;971;783;775
Eureka;County;1547;1651;1987;1979
Humboldt;County;12844;16081;16528;16735
Lander;County;6266;5790;5775;5841
Lincoln;County;3775;4165;5345;5311
Lyon;County;20001;34503;51980;51871
Mineral;County;6475;5070;4772;4593
Nye;County;17781;32522;43946;43351
Pershing;County;4336;6711;6753;6734
Storey;County;2526;3408;4010;3896
Washoe;County;254667;339473;421407;425710
White Pine;County;9264;9171;10030;10098
New Hampshire;Federal State;1109252;1235807;1316470;1318194
Belknap;County;49216;56268;60088;60223
Carroll;County;35410;43697;47818;47641
Cheshire;County;70121;73811;77117;76918
Coos (Coös);County;34828;33089;33055;32688
Grafton;County;74929;81764;89118;88923
Hillsborough;County;335838;380856;400721;401696
Merrimack;County;120240;136264;146445;146579
Rockingham;County;245845;277388;295223;296207
Strafford;County;104233;112235;123143;123857
Sullivan;County;38592;40435;43742;43462
New Jersey;Federal State;7747750;8414764;8791894;8821155
Atlantic;County;224327;253210;274549;274338
Bergen;County;825380;884179;905116;911004
Burlington;County;395066;423329;448734;449576
Camden;County;502824;507075;513657;513241
Cape May;County;95089;102323;97265;96601
Cumberland;County;138053;146454;156898;157095
Essex;County;777964;792235;783969;785137
Gloucester;County;230082;255946;288288;289104
Hudson;County;553099;609041;634266;641224
Hunterdon;County;107852;122110;128349;128038
Mercer;County;325759;350773;366513;367063
Middlesex;County;671712;750275;809858;814217
Monmouth;County;553192;615253;630380;631020
Morris;County;421330;470277;492276;494976
Ocean;County;433203;510950;576567;579369
Passaic;County;470872;490285;501226;502007
Salem;County;65294;64272;66083;65902
Somerset;County;240222;297544;323444;324893
Sussex;County;130936;144343;149265;148517
Union;County;493819;522507;536499;539494
Warren;County;91675;102383;108692;108339
New Mexico;Federal State;1515069;1819017;2059179;2082224
Bernalillo;County;480577;556120;662564;670968
Catron;County;2563;3538;3725;3733
Chaves;County;57849;61373;65645;65890
Cibola;County;23794;25588;27213;27658
Colfax;County;12925;14191;13750;13640
Curry;County;42207;45050;48376;49649
De Baca;County;2252;2240;2022;1945
Doña Ana;County;135510;174880;209233;213598
Eddy;County;48605;51633;53829;54152
Grant;County;27676;31004;29514;29380
Guadalupe;County;4156;4677;4687;4619
Harding;County;987;807;695;704
Hidalgo;County;5958;5930;4894;4861
Lea;County;55765;55528;64727;65423
Lincoln;County;12219;19374;20497;20454
Los Alamos;County;18115;18347;17950;18222
Luna;County;18110;24986;25095;25281
McKinley;County;60686;74795;71492;73664
Mora;County;4264;5178;4881;4773
Otero;County;51928;62195;63797;65703
Quay;County;10823;10088;9041;9026
Rio Arriba;County;34365;41171;40246;40446
Roosevelt;County;16702;18022;19846;20446
Sandoval;County;63319;90546;131561;134259
San Juan;County;91605;113812;130044;128200
San Miguel;County;25743;30089;29393;29301
Santa Fe;County;98928;129304;144170;145648
Sierra;County;9912;13261;11988;11943
Socorro;County;14764;18056;17866;17873
Taos;County;23118;29981;32937;32917
Torrance;County;10285;16894;16383;16345
Union;County;4124;4190;4549;4433
Valencia;County;45235;66169;76569;77070
New York;Federal State;17990778;18977026;19378102;19465197
Albany;County;292812;294601;304204;303565
Allegany;County;50470;49881;48946;48778
Bronx;County;1203789;1332244;1385108;1392002
Broome;County;212160;200415;200600;199031
Cattaraugus;County;84234;83874;80317;79832
Cayuga;County;82313;81910;80026;79738
Chautauqua;County;141895;139698;134905;134368
Chemung;County;95195;91119;88830;88840
Chenango;County;51768;51356;50477;50118
Clinton;County;85969;79882;82128;81945
Columbia;County;62982;63074;63096;62550
Cortland;County;48963;48704;49336;49363
Delaware;County;47352;47894;47980;47559
Dutchess;County;259462;280032;297488;297999
Erie;County;968584;950227;919040;918028
Essex;County;37152;38893;39370;39181
Franklin;County;46540;51110;51599;51551
Fulton;County;54191;55053;55531;55180
Genesee;County;60060;60548;60079;59993
Greene;County;44739;48021;49221;48954
Hamilton;County;5279;5376;4836;4793
Herkimer;County;65809;64502;64519;64160
Jefferson;County;110943;111716;116229;117910
Kings (Brooklyn);County;2300664;2465689;2504700;2532645
Lewis;County;26796;26946;27087;27072
Livingston;County;62372;64631;65393;65070
Madison;County;69166;69420;73442;73365
Monroe;County;713968;735328;744344;745625
Montgomery;County;51981;49637;50219;49916
Nassau;County;1287873;1334625;1339532;1344436
New York (Manhattan);County;1487536;1538096;1585873;1601948
Niagara;County;220756;219795;216469;216011
Oneida;County;250836;235516;234878;234287
Onondaga;County;468973;458326;467026;466960
Ontario;County;95101;100009;107931;108525
Orange;County;307571;341397;372813;374872
Orleans;County;41846;44184;42883;42622
Oswego;County;121785;122387;122109;122228
Otsego;County;60390;61692;62259;61917
Putnam;County;83941;95731;99710;99933
Queens;County;1951598;2229394;2230722;2247848
Rensselaer;County;154429;152553;159429;159395
Richmond (Staten Island);County;378977;443762;468730;470467
Rockland;County;265475;286794;311687;315158
Saratoga;County;181276;200626;219607;220882
Schenectady;County;149285;146652;154727;155058
Schoharie;County;31840;31488;32749;32578
Schuyler;County;18662;19188;18343;18361
Seneca;County;33683;33319;35251;35198
St. Lawrence;County;111974;111922;111944;111690
Steuben;County;99088;98681;98990;99033
Suffolk;County;1321339;1419379;1493350;1498816
Sullivan;County;69277;73885;77547;76900
Tioga;County;52337;51883;51125;51043
Tompkins;County;94097;96487;101564;101723
Ulster;County;165380;177726;182493;182448
Warren;County;59209;63263;65707;65831
Washington;County;59330;61032;63216;63165
Wayne;County;89123;93779;93772;93436
Westchester;County;874866;923621;949113;955899
Wyoming;County;42507;43462;42155;41944
Yates;County;22810;24591;25348;25454
North Carolina;Federal State;6632448;8046346;9535483;9656401
Alamance;County;108213;130750;151131;153291
Alexander;County;27544;33566;37198;37087
Alleghany;County;9590;10672;11155;11052
Anson;County;23474;25268;26948;26609
Ashe;County;22209;24394;27281;27143
Avery;County;14867;17149;17797;17572
Beaufort;County;42283;44916;47759;47691
Bertie;County;20388;19765;21282;20874
Bladen;County;28663;32252;35190;34928
Brunswick;County;50985;73121;107431;110097
Buncombe;County;174357;206365;238318;241419
Burke;County;75740;89163;90912;90904
Cabarrus;County;98935;131043;178011;181468
Caldwell;County;70709;77425;83029;82395
Camden;County;5904;6884;9980;10014
Carteret;County;52407;59334;66469;67373
Caswell;County;20662;23474;23719;23403
Catawba;County;118412;141700;154358;154181
Chatham;County;38979;49396;63505;64195
Cherokee;County;20170;24261;27444;27194
Chowan;County;13506;14522;14793;14853
Clay;County;7155;8778;10587;10563
Cleveland;County;84958;96129;98078;97489
Columbus;County;49587;54758;58098;57712
Craven;County;81812;91526;103505;104786
Cumberland;County;274713;302978;319431;324885
Currituck;County;13736;18179;23547;23955
Dare;County;22746;29959;33920;34307
Davidson;County;126688;147248;162878;162697
Davie;County;27859;34841;41240;41552
Duplin;County;39995;49054;58505;59542
Durham;County;181844;223270;267587;273392
Edgecombe;County;56692;55604;56552;56041
Forsyth;County;265855;306274;350670;354952
Franklin;County;36414;47284;60619;61140
Gaston;County;174769;190445;206086;207031
Gates;County;9305;10521;12197;12043
Graham;County;7196;7996;8861;8802
Granville;County;38341;48486;59916;59976
Greene;County;15384;18957;21362;21556
Guilford;County;347431;420848;488406;495279
Halifax;County;55516;57444;54691;54173
Harnett;County;67833;90978;114678;119256
Haywood;County;46948;54025;59036;58855
Henderson;County;69747;89184;106740;107927
Hertford;County;22317;22588;24669;24433
Hoke;County;22856;33708;46952;49272
Hyde;County;5411;5817;5810;5822
Iredell;County;93205;122631;159437;161202
Jackson;County;26835;33103;40271;40285
Johnston;County;81306;121998;168878;172595
Jones;County;9361;10311;10153;10020
Lee;County;41370;49196;57866;58752
Lenoir;County;57274;59636;59495;59339
Lincoln;County;50319;63810;78265;78932
Macon;County;23504;29802;33922;34074
Madison;County;16953;19612;20764;20816
Martin;County;25078;25549;24505;24180
McDowell;County;35681;42134;44996;45104
Mecklenburg;County;511211;695348;919628;944373
Mitchell;County;14433;15687;15579;15445
Montgomery;County;23359;26797;27798;27667
Moore;County;59000;74772;88247;89352
Nash;County;76677;87378;95840;96116
New Hanover;County;120284;160315;202667;206189
Northampton;County;21004;22051;22099;21893
Onslow;County;149838;150418;177772;179719
Orange;County;93662;115589;133801;135755
Pamlico;County;11368;12896;13144;13197
Pasquotank;County;31298;34890;40661;40696
Pender;County;28855;41071;52217;53399
Perquimans;County;10447;11369;13453;13487
Person;County;30180;35603;39464;39637
Pitt;County;108480;133759;168148;171134
Polk;County;14458;18299;20510;20256
Randolph;County;106546;130503;141752;142358
Richmond;County;44511;46597;46639;46611
Robeson;County;105170;123170;134168;135517
Rockingham;County;86064;92018;93643;93329
Rowan;County;110605;130364;138428;138019
Rutherford;County;56956;62923;67810;67538
Sampson;County;47297;60157;63431;63734
Scotland;County;33763;35952;36157;35861
Stanly;County;51765;58092;60585;60626
Stokes;County;37224;44640;47401;47242
Surry;County;61704;71208;73673;73714
Swain;County;11268;12980;13981;14043
Transylvania;County;25520;29316;33090;32820
Tyrrell;County;3856;4143;4407;4364
Union;County;84210;123834;201292;205463
Vance;County;38892;42946;45422;45307
Wake;County;426311;627906;900993;929780
Warren;County;17265;19861;20972;20861
Washington;County;13997;13730;13228;12973
Watauga;County;36952;42684;51079;51333
Wayne;County;104666;113449;122623;123697
Wilkes;County;59393;65630;69340;68984
Wilson;County;66061;73810;81234;81452
Yadkin;County;30488;36352;38406;38279
Yancey;County;15419;17758;17818;17701
North Dakota;Federal State;638800;642237;672591;683932
Adams;County;3174;2593;2343;2307
Barnes;County;12545;11772;11066;11056
Benson;County;7198;6961;6660;6723
Billings;County;1108;888;783;816
Bottineau;County;8011;7156;6429;6443
Bowman;County;3596;3243;3151;3134
Burke;County;3002;2243;1968;2033
Burleigh;County;60131;69408;81308;83145
Cass;County;102874;123171;149778;152368
Cavalier;County;6064;4832;3993;3939
Dickey;County;6107;5768;5289;5317
Divide;County;2899;2283;2071;2125
Dunn;County;4005;3606;3536;3720
Eddy;County;2951;2756;2385;2380
Emmons;County;4830;4327;3550;3546
Foster;County;3983;3761;3343;3341
Golden Valley;County;2108;1925;1680;1752
Grand Forks;County;70683;66119;66861;66598
Grant;County;3549;2841;2394;2337
Griggs;County;3303;2754;2420;2372
Hettinger;County;3445;2715;2477;2515
Kidder;County;3332;2738;2435;2414
LaMoure;County;5383;4690;4139;4105
Logan;County;2847;2315;1990;1985
McHenry;County;6528;5983;5395;5505
McIntosh;County;4021;3388;2809;2769
McKenzie;County;6383;5738;6360;7019
McLean;County;10457;9346;8962;9068
Mercer;County;9808;8634;8424;8449
Morton;County;23700;25301;27471;27734
Mountrail;County;7021;6636;7673;8097
Nelson;County;4410;3706;3126;3057
Oliver;County;2381;2057;1846;1830
Pembina;County;9238;8620;7413;7342
Pierce;County;5052;4667;4357;4375
Ramsey;County;12681;12062;11451;11452
Ransom;County;5921;5896;5457;5403
Renville;County;3160;2612;2470;2490
Richland;County;18148;17992;16321;16245
Rolette;County;12772;13674;13937;14206
Sargent;County;4549;4362;3829;3798
Sheridan;County;2148;1711;1321;1309
Sioux;County;3761;4043;4153;4280
Slope;County;907;765;727;718
Stark;County;22832;22635;24199;25177
Steele;County;2420;2252;1975;1950
Stutsman;County;22241;21912;21100;21062
Towner;County;3627;2878;2246;2264
Traill;County;8752;8479;8121;8147
Walsh;County;13840;12375;11119;11032
Ward;County;57921;58799;61675;64072
Wells;County;5864;5095;4207;4237
Williams;County;21129;19754;22398;24374
Ohio;Federal State;10847115;11353336;11536504;11544951
Adams;County;25371;27303;28550;28456
Allen;County;109755;108464;106331;106094
Ashland;County;47507;52516;53139;53153
Ashtabula;County;99880;102681;101497;101345
Athens;County;59549;62193;64757;64769
Auglaize;County;44585;46230;45949;45838
Belmont;County;71074;70239;70400;70151
Brown;County;34966;42261;44846;44687
Butler;County;291479;332341;368130;369999
Carroll;County;26521;28822;28836;28782
Champaign;County;36019;38904;40097;39795
Clark;County;147538;144742;138333;137691
Clermont;County;150094;177322;197363;199139
Clinton;County;35444;40473;42040;41927
Columbiana;County;108276;112050;107841;107570
Coshocton;County;35427;36654;36901;36955
Crawford;County;47870;46909;43784;43389
Cuyahoga;County;1412140;1393871;1280122;1270294
Darke;County;53617;53313;52959;52809
Defiance;County;39350;39502;39037;38884
Delaware;County;66929;109974;174214;178341
Erie;County;76781;79623;77079;76751
Fairfield;County;103468;122943;146156;147066
Fayette;County;27466;28474;29030;28985
Franklin;County;961437;1068736;1163414;1178799
Fulton;County;38498;42051;42698;42510
Gallia;County;30954;31058;30934;30970
Geauga;County;81087;90935;93389;93228
Greene;County;136731;147931;161573;162846
Guernsey;County;39024;40813;40087;39927
Hamilton;County;866228;845289;802374;800362
Hancock;County;65536;71303;74782;75056
Hardin;County;31111;31966;32058;32020
Harrison;County;16085;15847;15864;15850
Henry;County;29108;29202;28215;28064
Highland;County;35728;40853;43589;43433
Hocking;County;25533;28263;29380;29394
Holmes;County;32849;38940;42366;42746
Huron;County;56238;59447;59626;59496
Jackson;County;30230;32653;33225;33186
Jefferson;County;80298;73886;69709;68828
Knox;County;47473;54482;60921;61275
Lake;County;215500;227482;230041;229885
Lawrence;County;61834;62330;62450;62489
Licking;County;128300;145699;166492;167248
Logan;County;42310;46002;45858;45688
Lorain;County;271126;284657;301356;301614
Lucas;County;462361;455093;441815;440005
Madison;County;37078;40210;43435;43401
Mahoning;County;264806;257588;238823;237270
Marion;County;64274;66198;66501;66212
Medina;County;122354;151096;172332;173262
Meigs;County;22987;23058;23770;23680
Mercer;County;39443;40936;40814;40838
Miami;County;93184;98899;102506;102857
Monroe;County;15497;15172;14642;14585
Montgomery;County;573809;559141;535153;537602
Morgan;County;14194;14947;15054;15034
Morrow;County;27749;31646;34827;34855
Muskingum;County;82068;84549;86074;86237
Noble;County;11336;14058;14645;14702
Ottawa;County;40029;40974;41428;41396
Paulding;County;20488;20297;19614;19420
Perry;County;31557;34052;36058;36303
Pickaway;County;48248;52728;55698;55990
Pike;County;24249;27628;28709;28628
Portage;County;142585;152126;161419;161624
Preble;County;40113;42340;42270;42083
