Name;Status;Population census 1990-04-01;Population census 2000-04-01;Population census 2010-04-01;Population estimate 2011-07-01
Orange;County;677491;896123;1145956;1169107
Osceola;County;107728;172520;268685;276163
Palm Beach;County;863503;1131189;1320134;1335187
Pasco;County;281131;344749;464697;466457
Pinellas;County;851659;921500;916542;917398
Polk;County;405382;483888;602095;609492
Putnam;County;65070;70418;74364;74041
Santa Rosa;County;81961;117752;151372;154104
Sarasota;County;277776;326002;379448;382213
Seminole;County;287521;365448;422718;425071
St. Johns;County;83829;123237;190039;195823
St. Lucie;County;150171;192679;277789;280379
Sumter;County;31577;53337;93420;97756
Suwannee;County;26780;34881;41551;41972
Taylor;County;17111;19253;22570;22691
Union;County;10252;13428;15535;15388
Volusia;County;370737;443385;494593;494804
Wakulla;County;14202;22857;30776;30978
Walton;County;27759;40561;55043;55793
Washington;County;16919;20975;24896;24935
Georgia;Federal State;6478149;8186653;9687653;9815210
Appling;County;15744;17405;18236;18420
Atkinson;County;6213;7611;8375;8413
Bacon;County;9566;10098;11096;11203
Baker;County;3615;4047;3451;3085
Baldwin;County;39530;44616;45720;44417
Banks;County;10308;14425;18395;18251
Barrow;County;29721;46177;69367;69912
Bartow;County;55915;76062;100157;100421
Ben Hill;County;16245;17498;17634;17673
Berrien;County;14153;16210;19286;19372
Bibb;County;150137;153955;155547;156433
Bleckley;County;10430;11666;13063;13290
Brantley;County;11077;14608;18411;18367
Brooks;County;15398;16456;16243;15889
Bryan;County;15438;23430;30233;31377
Bulloch;County;43125;55961;70217;72881
Burke;County;20579;22255;23316;23504
Butts;County;15326;19460;23655;23504
Calhoun;County;5013;6317;6694;6740
Camden;County;30167;43658;50513;50410
Candler;County;7744;9561;10998;11276
Carroll;County;71422;87302;110527;111159
Catoosa;County;42464;53188;63942;64530
Charlton;County;8496;10282;12171;13422
Chatham;County;216774;232372;265128;271544
Chattahoochee;County;16934;14895;11267;11749
Chattooga;County;22236;25423;26015;25736
Cherokee;County;90204;142013;214346;218286
Clarke;County;87594;101941;116714;117344
Clay;County;3364;3342;3183;3111
Clayton;County;181436;236644;259424;261532
Clinch;County;6160;6847;6798;6777
Cobb;County;447745;607450;688078;697553
Coffee;County;29592;37421;42356;42864
Colquitt;County;36645;42050;45498;45645
Columbia;County;66031;89497;124053;128112
Cook;County;13456;15779;17212;17125
Coweta;County;53853;89254;127317;129629
Crawford;County;8991;12481;12630;12567
Crisp;County;20011;22020;23439;23710
Dade;County;13183;15141;16633;16570
Dawson;County;9429;15942;22330;22459
Decatur;County;25517;28252;27842;27694
DeKalb;County;546174;666158;691893;699893
Dodge;County;17607;19154;21796;21894
Dooly;County;9901;11480;14918;14587
Dougherty;County;96321;96067;94565;94788
Douglas;County;71120;92315;132403;133355
Early;County;11854;12333;11008;10778
Echols;County;2334;3747;4034;4129
Effingham;County;25687;37522;52250;52655
Elbert;County;18949;20509;20166;19886
Emanuel;County;20546;21856;22598;22567
Evans;County;8724;10485;11000;11065
Fannin;County;15992;19792;23682;23708
Fayette;County;62415;91313;106567;107784
Floyd;County;81251;90622;96317;95989
Forsyth;County;44083;98360;175511;181840
Franklin;County;16650;20259;22084;21864
Fulton;County;648776;815579;920581;949599
Gilmer;County;13368;23367;28292;28324
Glascock;County;2357;2563;3082;3084
Glynn;County;62496;67580;79626;80386
Gordon;County;35067;44090;55186;55621
Grady;County;20279;23655;25011;25255
Greene;County;11793;14363;15994;16031
Gwinnett;County;352910;588133;805321;824941
Habersham;County;27622;35884;43041;43279
Hall;County;95434;139615;179684;183052
Hancock;County;8908;10083;9429;9400
Haralson;County;21966;25660;28780;28638
Harris;County;17788;23783;32024;32265
Hart;County;19712;22981;25213;25305
Heard;County;8628;10980;11834;11744
Henry;County;58741;119498;203922;207360
Houston;County;89208;110740;139900;143925
Irwin;County;8649;9918;9538;9679
Jackson;County;30005;41612;60485;61257
Jasper;County;8453;11441;13900;13885
Jeff Davis;County;12032;12673;15068;15162
Jefferson;County;17408;17239;16930;16675
Jenkins;County;8247;8571;8340;8148
Johnson;County;8329;8526;9980;9975
Jones;County;20739;23691;28669;28516
